City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Nara,JP,70.0,few clouds,34.69,135.8,Guesthouse Nara Komachi
456,Guanay,BO,70.07,broken clouds,-15.5,-67.88,Hotel Ritzy
458,Lar,IN,87.22,clear sky,26.2,83.97,Ovaiskarni ward Lar
459,Along,IN,82.47,clear sky,28.17,94.77,Hotel West
464,Atar,MR,76.37,clear sky,20.52,-13.05,Oumou Elghoura
465,Nioki,CD,76.48,scattered clouds,-2.72,17.68,
468,Houma,US,72.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
469,Iquitos,PE,73.4,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
470,Tadine,NC,74.88,light rain,-21.55,167.88,
471,Ouadda,CF,73.13,scattered clouds,8.08,22.4,
475,Bosaso,SO,80.96,few clouds,11.28,49.18,Red Sea Hotel
476,Hata,IN,86.72,clear sky,26.75,83.74,Dr. S. K. Gupta
477,Buala,SB,83.89,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
478,Jaciara,BR,72.34,moderate rain,-15.97,-54.97,Taba Hotel
479,Kandrian,PG,82.09,light rain,-6.22,149.55,Kandrian Station
480,Itaituba,BR,75.7,scattered clouds,-4.28,-55.98,Hotel Campos
481,Manokwari,ID,83.68,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
483,Howard Springs,AU,89.6,scattered clouds,-12.5,131.05,buffalo beach hostel
486,Quatre Cocos,MU,80.6,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
488,Mayumba,GA,78.53,moderate rain,-3.43,10.66,LIKWALE LODGE
491,Thinadhoo,MV,83.07,scattered clouds,0.53,72.93,
492,Belmonte,BR,73.4,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
493,Namatanai,PG,83.01,light rain,-3.67,152.43,Namatanai Hotel
494,Maanshan,CN,68.0,clear sky,31.7,118.5,天目湖酒店
496,Zhicheng,CN,72.34,clear sky,30.3,111.5,Wangjiang Building
497,Lichinga,MZ,73.4,light rain,-13.31,35.24,Residencial Bendiak
499,Maunabo,PR,75.0,moderate rain,18.01,-65.9,Maunacaribe
500,Le Lorrain,MQ,78.8,light rain,14.83,-61.06,Ti'coin Paradis
