City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Guerrero Negro,MX,2020-11-09 02:56:53,27.98,-114.06,64.74,57,79,13.51
115,Hamilton,US,2020-11-09 02:57:16,39.18,-84.53,64.4,81,1,4.5
116,Bengkulu,ID,2020-11-09 02:57:16,-3.8,102.27,82.13,76,98,2.53
117,Phoenix,US,2020-11-09 02:55:01,33.45,-112.07,64.4,34,40,6.93
118,Nanortalik,GL,2020-11-09 02:57:17,60.14,-45.24,28.11,93,100,21.92
119,Lahij,YE,2020-11-09 02:57:17,13.17,44.58,68.45,77,2,4.23
120,Polunochnoye,RU,2020-11-09 02:57:17,60.87,60.42,27.66,94,100,6.53
121,Susangerd,IR,2020-11-09 02:57:17,31.56,48.18,62.6,82,0,2.24
122,Terney,RU,2020-11-09 02:57:18,45.05,136.61,34.54,73,42,14.92
123,Puerto Ayora,EC,2020-11-09 02:57:18,-0.74,-90.35,68.0,88,13,5.99
124,Tuktoyaktuk,CA,2020-11-09 02:57:18,69.45,-133.04,14.0,92,75,18.34
125,Vardo,NO,2020-11-09 02:57:18,70.37,31.11,36.25,80,94,11.54
126,Nishihara,JP,2020-11-09 02:54:45,26.18,127.76,77.0,44,75,14.99
127,Turayf,SA,2020-11-09 02:57:19,31.67,38.66,55.4,82,0,13.87
128,Lagoa,PT,2020-11-09 02:57:19,39.05,-27.98,60.78,63,95,12.97
129,Ancud,CL,2020-11-09 02:57:19,-41.87,-73.82,55.4,66,0,17.22
130,Ipixuna,BR,2020-11-09 02:57:19,-1.76,-48.8,78.8,78,0,11.41
131,Port Blair,IN,2020-11-09 02:57:19,11.67,92.75,83.79,75,45,10.83
132,Isangel,VU,2020-11-09 02:57:20,-19.55,169.27,80.6,78,90,9.17
133,Sistranda,NO,2020-11-09 02:57:20,63.73,8.83,44.6,87,75,10.29
134,Ola,RU,2020-11-09 02:57:20,59.58,151.28,12.2,86,91,16.02
135,Babu,CN,2020-11-09 02:57:20,24.42,111.52,71.19,38,0,6.96
136,Hambantota,LK,2020-11-09 02:57:20,6.12,81.12,80.6,94,0,2.24
137,Kibondo,TZ,2020-11-09 02:57:20,-3.59,30.72,63.55,92,96,1.9
138,Ilulissat,GL,2020-11-09 02:57:21,69.22,-51.1,14.0,61,100,4.7
139,Kurara,IN,2020-11-09 02:57:21,25.98,79.98,70.74,23,0,3.98
140,Araguacu,BR,2020-11-09 02:57:21,-12.93,-49.83,74.7,80,97,3.78
141,Viedma,AR,2020-11-09 02:57:21,-40.81,-63.0,60.01,89,36,11.88
142,San Patricio,US,2020-11-09 02:57:21,28.02,-97.52,73.4,88,20,12.75
143,Castro,BR,2020-11-09 02:57:22,-24.79,-50.01,64.65,70,62,7.38
144,Hirara,JP,2020-11-09 02:57:22,24.8,125.28,73.4,64,75,19.46
145,Shenjiamen,CN,2020-11-09 02:57:22,29.96,122.3,61.07,57,4,14.05
146,Pisco,PE,2020-11-09 02:54:23,-13.7,-76.22,62.6,88,0,13.87
147,Parsons,US,2020-11-09 02:56:18,37.34,-95.26,69.8,64,90,11.41
148,San Matias,BO,2020-11-09 02:57:22,-16.37,-58.4,82.36,57,82,6.46
149,Codrington,AU,2020-11-09 02:57:22,-38.27,141.97,76.12,61,54,8.1
150,Rutul,RU,2020-11-09 02:57:23,41.54,47.42,48.2,93,75,6.93
151,Cidreira,BR,2020-11-09 02:57:23,-30.18,-50.21,68.09,84,95,14.16
152,Kalabo,ZM,2020-11-09 02:57:23,-14.97,22.68,72.79,54,0,6.15
153,Makakilo City,US,2020-11-09 02:57:23,21.35,-158.09,84.2,51,1,11.41
154,Bambous Virieux,MU,2020-11-09 02:57:23,-20.34,57.76,75.0,88,40,11.41
155,Narodychi,UA,2020-11-09 02:57:24,51.2,29.08,44.17,78,99,2.59
156,Belaya Gora,RU,2020-11-09 02:57:24,68.53,146.42,-10.91,91,93,1.54
157,Abu Samrah,SY,2020-11-09 02:57:24,35.3,37.18,59.9,59,97,5.21
158,Arraial Do Cabo,BR,2020-11-09 02:53:38,-22.97,-42.03,73.99,93,86,10.58
159,Talnakh,RU,2020-11-09 02:57:24,69.49,88.4,24.8,92,40,17.9
160,Ribeira Grande,PT,2020-11-09 02:57:25,38.52,-28.7,61.27,65,59,14.23
161,Santa Isabel Do Rio Negro,BR,2020-11-09 02:56:10,-0.41,-65.02,73.62,97,100,1.39
162,Port Elizabeth,ZA,2020-11-09 02:57:25,-33.92,25.57,57.2,93,0,14.99
163,Simonesti,RO,2020-11-09 02:57:25,46.33,25.1,37.4,100,90,2.08
164,Komsomolskiy,UZ,2020-11-09 02:57:25,40.43,71.72,51.8,57,40,6.93
165,Kilindoni,TZ,2020-11-09 02:57:26,-7.91,39.67,79.25,81,59,9.19
166,Alofi,NU,2020-11-09 02:57:26,-19.06,-169.92,80.6,69,75,11.41
167,Weligama,LK,2020-11-09 02:57:26,5.97,80.42,81.66,79,5,5.79
168,Rudnichnyy,RU,2020-11-09 02:57:26,59.62,52.47,30.56,96,96,9.57
169,Atar,MR,2020-11-09 02:57:26,20.52,-13.05,82.6,16,82,5.57
170,Vila Velha,BR,2020-11-09 02:57:26,-20.33,-40.29,77.0,83,20,9.17
171,Kavieng,PG,2020-11-09 02:57:27,-2.57,150.8,83.98,68,53,2.39
172,Kununurra,AU,2020-11-09 02:57:27,-15.77,128.73,100.4,33,37,5.82
173,Tanete,ID,2020-11-09 02:57:27,-3.94,119.78,92.66,45,9,10.49
174,Shelburne,CA,2020-11-09 02:55:42,44.08,-80.2,55.4,81,1,5.82
175,Daru,PG,2020-11-09 02:57:27,-9.08,143.21,78.46,90,100,14.72
176,Saint-Paul,RE,2020-11-09 02:57:27,-21.01,55.27,77.0,65,75,14.99
177,Nikolskoye,RU,2020-11-09 02:57:28,59.7,30.79,30.99,86,20,4.47
178,Carutapera,BR,2020-11-09 02:57:28,-1.2,-46.02,79.86,82,62,7.43
179,Dusetos,LT,2020-11-09 02:57:28,55.75,25.85,35.67,90,40,3.02
180,Upernavik,GL,2020-11-09 02:57:28,72.79,-56.15,-5.8,77,0,10.27
181,Hami,CN,2020-11-09 02:57:28,42.8,93.45,48.38,39,0,5.64
182,New Norfolk,AU,2020-11-09 02:57:29,-42.78,147.06,78.01,30,18,1.99
183,Poum,NC,2020-11-09 02:57:29,-20.23,164.02,75.97,71,40,12.88
184,Japura,ID,2020-11-09 02:57:29,-0.32,102.35,88.56,59,97,2.17
185,Uarini,BR,2020-11-09 02:55:47,-2.99,-65.11,73.63,95,17,1.9
186,Nantucket,US,2020-11-09 02:57:29,41.28,-70.1,48.2,87,1,3.36
187,Ponta Do Sol,PT,2020-11-09 02:57:30,32.67,-17.1,64.4,68,20,10.29
188,Fallingbostel,DE,2020-11-09 02:57:30,52.87,9.7,41.0,100,20,6.93
189,Muscat,OM,2020-11-09 02:57:30,23.61,58.59,78.8,83,20,4.7
190,Morgan City,US,2020-11-09 02:57:30,29.7,-91.21,71.6,94,40,6.93
191,Cabo San Lucas,MX,2020-11-09 02:52:38,22.89,-109.91,78.8,73,5,16.11
192,Heubach,DE,2020-11-09 02:57:31,48.79,9.93,43.0,88,100,2.24
193,San Policarpo,PH,2020-11-09 02:57:31,12.18,125.51,84.99,74,87,7.76
194,Torbay,CA,2020-11-09 02:57:31,47.67,-52.73,34.0,68,20,11.41
195,Honningsvag,NO,2020-11-09 02:57:31,70.98,25.97,36.45,82,100,10.58
196,Auki,SB,2020-11-09 02:57:32,-8.77,160.7,83.95,71,62,2.68
197,Campbell River,CA,2020-11-09 02:53:14,50.02,-125.24,37.99,74,20,3.36
198,Ewa Beach,US,2020-11-09 02:57:32,21.32,-158.01,84.2,51,1,11.41
199,Mount Isa,AU,2020-11-09 02:57:32,-20.73,139.5,100.4,8,0,6.93
200,Fayaoue,NC,2020-11-09 02:57:32,-20.65,166.53,75.25,72,65,19.26
201,Usinsk,RU,2020-11-09 02:57:33,65.99,57.53,26.76,98,100,13.06
202,Conde,BR,2020-11-09 02:57:33,-7.26,-34.91,75.2,100,75,8.05
203,Kaeo,NZ,2020-11-09 02:57:33,-35.1,173.78,66.99,67,100,11.99
204,Rudbar,AF,2020-11-09 02:57:33,30.15,62.6,54.28,47,53,10.96
205,Notodden,NO,2020-11-09 02:57:33,59.56,9.26,37.99,96,64,1.05
206,Riyadh,SA,2020-11-09 02:53:51,24.69,46.72,66.2,63,0,2.24
207,Challapata,BO,2020-11-09 02:57:34,-18.9,-66.77,48.27,60,90,8.05
208,Dubrovnik,HR,2020-11-09 02:57:34,42.65,18.09,57.2,44,0,6.93
209,Pemangkat,ID,2020-11-09 02:57:34,1.17,108.97,80.53,82,100,4.25
210,Pauini,BR,2020-11-09 02:57:35,-7.71,-66.98,77.67,78,79,2.59
211,Awjilah,LY,2020-11-09 02:57:35,29.11,21.29,56.77,78,0,8.81
212,Nome,US,2020-11-09 02:57:35,64.5,-165.41,30.2,80,1,4.92
213,Coahuayana,MX,2020-11-09 02:56:40,18.73,-103.68,75.11,87,10,2.08
214,Innisfail,AU,2020-11-09 02:57:35,-17.53,146.03,81.39,61,77,11.61
215,Taoudenni,ML,2020-11-09 02:57:36,22.68,-3.98,76.59,18,64,7.49
216,Vicuna,CL,2020-11-09 02:57:36,-30.03,-70.71,55.4,87,0,1.25
217,Sayyan,YE,2020-11-09 02:57:36,15.17,44.32,47.61,56,0,3.58
218,Rio Gallegos,AR,2020-11-09 02:57:36,-51.62,-69.22,48.2,61,75,11.41
219,Kamiiso,JP,2020-11-09 02:57:36,41.82,140.65,39.2,86,75,8.05
