City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
482,Fort Nelson,CA,58.81,-122.7,3.2,84,75,3.36,broken clouds
483,Howard Springs,AU,-12.5,131.05,89.6,62,40,16.11,scattered clouds
484,San Quintin,MX,30.48,-115.95,43.0,6,22,5.99,few clouds
485,Loreto,MX,22.27,-101.97,54.54,41,18,1.92,few clouds
486,Quatre Cocos,MU,-20.21,57.76,80.6,65,75,12.75,shower rain
487,Bisert,RU,56.86,59.05,22.33,96,100,10.38,light snow
488,Mayumba,GA,-3.43,10.66,78.53,87,92,4.81,moderate rain
489,Ulaanbaatar,MN,47.91,106.88,41.0,25,0,8.95,clear sky
490,Kaitangata,NZ,-46.28,169.85,63.0,58,72,3.0,broken clouds
491,Thinadhoo,MV,0.53,72.93,83.07,71,49,4.63,scattered clouds
492,Belmonte,BR,-15.86,-38.88,73.4,83,0,8.05,clear sky
493,Namatanai,PG,-3.67,152.43,83.01,77,53,5.93,light rain
494,Maanshan,CN,31.7,118.5,68.0,45,0,4.47,clear sky
495,Kutum,SD,14.2,24.67,65.43,30,0,13.22,clear sky
496,Zhicheng,CN,30.3,111.5,72.34,40,0,2.68,clear sky
497,Lichinga,MZ,-13.31,35.24,73.4,61,96,7.96,light rain
498,Kaka,TM,37.35,59.61,49.48,57,100,7.94,overcast clouds
499,Maunabo,PR,18.01,-65.9,75.0,98,100,11.43,moderate rain
500,Le Lorrain,MQ,14.83,-61.06,78.8,88,91,2.24,light rain
501,Hambantota,LK,6.12,81.12,86.0,79,75,5.82,broken clouds
502,Sattahip,TH,12.67,100.9,82.4,65,40,9.17,scattered clouds
503,Sain Alto,MX,23.58,-103.25,57.97,45,6,7.09,clear sky
504,Grand Gaube,MU,-20.01,57.66,80.01,65,1,7.0,clear sky
505,Sortland,NO,68.69,15.42,42.8,70,0,18.34,clear sky
506,Saint Marys,US,30.73,-81.55,80.01,89,1,21.92,clear sky
507,Acajutla,SV,13.59,-89.83,69.01,100,67,6.93,broken clouds
508,Ayr,GB,55.46,-4.63,50.0,76,75,16.11,broken clouds
509,Kamaishi,JP,39.27,141.88,50.0,53,20,4.7,few clouds
510,Tieling,CN,42.29,123.84,62.06,29,61,15.35,broken clouds
511,Waingapu,ID,-9.66,120.26,90.61,56,98,12.06,overcast clouds
512,San Angelo,US,31.46,-100.44,57.0,81,1,3.36,clear sky
513,Kjustendil,BG,42.28,22.69,37.0,88,49,0.18,scattered clouds
514,Vostok,RU,46.49,135.88,39.6,88,27,3.76,scattered clouds
515,Haines Junction,CA,60.75,-137.51,32.0,93,35,8.05,scattered clouds
516,Najran,SA,17.49,44.13,69.8,37,0,7.31,clear sky
517,Znamenskoye,RU,57.13,73.83,26.11,91,100,7.09,overcast clouds
518,Jalu,LY,29.03,21.55,62.8,65,0,4.56,clear sky
519,Gidole,ET,5.65,37.37,63.55,80,1,2.77,clear sky
520,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,73.69,96,84,1.54,broken clouds
521,Fremont,US,37.55,-121.99,52.0,79,99,1.25,overcast clouds
522,Tautira,PF,-17.73,-149.15,77.0,83,75,10.29,shower rain
523,Fitchburg,US,42.58,-71.8,64.99,93,90,7.9,overcast clouds
524,Isla Mujeres,MX,21.23,-86.73,75.2,94,75,4.7,broken clouds
525,Vila Franca Do Campo,PT,37.72,-25.43,57.2,67,40,8.05,scattered clouds
526,Marquette,US,46.53,-87.63,35.01,71,2,10.0,clear sky
527,Sioux Lookout,CA,50.1,-91.92,24.8,92,90,3.36,overcast clouds
528,Antalaha,MG,-14.9,50.28,81.41,54,18,4.29,few clouds
529,Leshukonskoye,RU,64.9,45.76,29.46,97,91,7.23,overcast clouds
530,Vanimo,PG,-2.67,141.3,79.05,81,100,4.94,overcast clouds
531,Nouadhibou,MR,20.93,-17.03,69.8,60,0,10.29,clear sky
532,Stornoway,GB,58.21,-6.39,45.0,100,75,4.7,broken clouds
533,Portobelo,PA,9.55,-79.65,77.0,90,85,1.01,overcast clouds
534,Porto Belo,BR,-27.16,-48.55,72.0,96,11,1.01,few clouds
535,Lyuban,BY,52.8,28.0,36.27,83,100,7.09,overcast clouds
536,La Ronge,CA,55.1,-105.28,-5.8,83,50,1.12,scattered clouds
537,Port-Cartier,CA,50.03,-66.87,44.6,74,10,12.75,clear sky
538,North Bend,US,43.41,-124.22,43.0,100,1,4.61,clear sky
539,Severnoye,RU,56.35,78.36,24.49,93,98,10.0,overcast clouds
540,Yeniseysk,RU,58.45,92.17,31.5,92,99,14.34,overcast clouds
541,Alyangula,AU,-13.85,136.42,98.6,39,40,8.05,scattered clouds
542,Valparaiso,CL,-33.04,-71.63,53.6,93,90,3.36,overcast clouds
543,Deputatskiy,RU,69.3,139.9,-15.65,78,75,1.95,broken clouds
544,Ha Giang,VN,22.83,104.98,83.64,37,55,2.37,broken clouds
545,Yumen,CN,40.28,97.2,51.42,32,47,16.42,scattered clouds
546,Hualmay,PE,-11.1,-77.61,61.65,85,85,6.31,overcast clouds
547,Sampit,ID,-2.53,112.95,98.83,41,73,1.48,broken clouds
548,Iquique,CL,-20.22,-70.14,60.8,72,0,3.36,clear sky
549,Diego De Almagro,CL,-26.37,-70.05,50.67,68,0,2.21,clear sky
550,Bluefield,US,37.27,-81.22,62.01,95,100,1.81,light rain
551,Tongzi,CN,28.78,105.09,75.74,38,49,2.19,scattered clouds
552,Beeville,US,28.4,-97.75,66.99,100,90,5.12,fog
553,Lakatoro,VU,-16.1,167.42,75.2,100,90,1.12,light intensity shower rain
554,Half Moon Bay,US,37.46,-122.43,52.0,93,1,6.26,clear sky
555,Suzun,RU,53.78,82.31,32.27,85,85,5.46,overcast clouds
556,Wyndham,US,37.7,-77.61,71.01,94,90,3.36,overcast clouds
557,Krasne,UA,49.91,24.61,39.2,93,90,4.47,mist
558,Weymouth,US,42.22,-70.94,66.2,100,100,11.41,light rain
559,Cervo,ES,43.67,-7.41,54.0,84,57,1.99,broken clouds
560,Semporna,MY,4.48,118.61,87.8,70,20,8.05,few clouds
561,Perelyub,RU,51.87,50.37,28.26,94,15,10.13,light snow
562,Jiaojiang,CN,28.68,121.44,73.0,51,0,1.99,clear sky
563,Van,TR,38.49,43.38,46.4,52,75,5.82,broken clouds
564,Sao Felix Do Xingu,BR,-6.64,-51.99,72.0,86,27,1.41,scattered clouds
565,Coihaique,CL,-45.58,-72.07,53.6,76,0,3.36,clear sky
566,Upata,VE,8.01,-62.4,71.65,97,57,3.94,broken clouds
567,Brikama,GM,13.27,-16.65,73.4,100,0,7.49,clear sky
568,Smirnykh,RU,49.75,142.83,32.34,89,82,2.53,broken clouds
569,Cap-Chat,CA,49.1,-66.68,46.4,61,49,28.86,scattered clouds
570,Nishihara,JP,26.18,127.76,77.0,57,75,14.99,broken clouds
571,Manakara,MG,-22.13,48.02,80.35,66,71,11.77,broken clouds
572,Gizo,SB,-8.1,156.84,85.35,70,11,8.16,light rain
573,Urumqi,CN,43.8,87.6,41.0,52,0,4.47,clear sky
574,Falam,MM,22.92,93.68,73.15,43,0,3.42,clear sky
575,Areosa,PT,41.72,-8.86,60.01,87,0,11.41,clear sky
576,Camanducaia,BR,-22.76,-46.14,62.62,91,98,4.34,overcast clouds
577,Linjiang,CN,41.81,126.91,48.61,70,98,8.52,overcast clouds
578,Madimba,TZ,-10.4,40.33,80.6,83,75,9.17,broken clouds
579,San Borja,BO,-14.82,-66.85,72.68,98,99,1.61,overcast clouds
580,Chaplynka,UA,46.37,33.54,37.94,75,94,7.45,overcast clouds
581,Sorong,ID,-0.88,131.25,83.37,75,66,6.04,heavy intensity rain
